database_name	HMDB;LMSD
database_version	4.0;2020-09-08
99.014269855	C4H5NS	HMDB:HMDB0005843	HMDB:HMDB0029755	HMDB:HMDB0033116	HMDB:HMDB0033117	HMDB:HMDB0038624	HMDB:HMDB0061872
99.032028409	C4H5NO2	HMDB:HMDB0030276
99.068413915	C5H9NO	HMDB:HMDB0011749	HMDB:HMDB0034587	HMDB:HMDB0040518	HMDB:HMDB0060309
99.104799421	C6H13N	HMDB:HMDB0031404	HMDB:HMDB0032416
100.013599333	C2H3F3O	HMDB:HMDB0059596
100.016043994	C4H4O3	HMDB:HMDB0032523
100.034670946	C5H8S	HMDB:HMDB0033564	HMDB:HMDB0033565
100.052429498	C5H8O2	HMDB:HMDB0000509	HMDB:HMDB0001470	HMDB:HMDB0001862	HMDB:HMDB0002167	HMDB:HMDB0029599	HMDB:HMDB0029608	HMDB:HMDB0031178	HMDB:HMDB0031598	HMDB:HMDB0031602	HMDB:HMDB0031648	HMDB:HMDB0032351	HMDB:HMDB0032385	HMDB:HMDB0032459	HMDB:HMDB0033840	HMDB:HMDB0033978	HMDB:HMDB0035143	HMDB:HMDB0129418	HMDB:HMDB0130837	HMDB:HMDB0132474	HMDB:HMDB0170858	LMFA01020029	LMFA01020030	LMFA01020097	LMFA01020110	LMFA01020111	LMFA01030005	LMFA01030006	LMFA01030007	LMFA01031004	LMFA01031005	LMFA07010505	LMFA07040008	LMFA12000075
100.063662888	C4H8N2O	HMDB:HMDB0031642	HMDB:HMDB0033952
100.088815006	C6H12O	LMFA05000059	LMFA05000060	LMFA05000113	LMFA05000115	LMFA05000116	LMFA05000464	LMFA05000538	LMFA05000561	LMFA06000109	LMFA12000027	LMFA12000033	LMFA12000048	LMFA12000049	HMDB:HMDB0000753	HMDB:HMDB0001318	HMDB:HMDB0002939	HMDB:HMDB0005842	HMDB:HMDB0005846	HMDB:HMDB0005994	HMDB:HMDB0030003	HMDB:HMDB0030952	HMDB:HMDB0031220	HMDB:HMDB0031502	HMDB:HMDB0031503	HMDB:HMDB0031578	HMDB:HMDB0061882	HMDB:HMDB0062792
100.112624453	C6H14N	HMDB:HMDB0062716
100.125200512	C7H16	LMFA11000575	LMFA11000702	HMDB:HMDB0031447
101.029919919	C4H7NS	HMDB:HMDB0029555
101.047678473	C4H7NO2	HMDB:HMDB0029387	HMDB:HMDB0029615	HMDB:HMDB0036458	LMFA08010016
101.084063979	C5H11NO	HMDB:HMDB0012815	HMDB:HMDB0062600	LMFA08010002
101.120449485	C6H15N	HMDB:HMDB0032323	HMDB:HMDB0032539
101.904349503	Ru	HMDB:HMDB0013668
102.013935504	C4H6OS	HMDB:HMDB0031242	HMDB:HMDB0031253
102.031694058	C4H6O3	HMDB:HMDB0000005	HMDB:HMDB0000060	HMDB:HMDB0001172	HMDB:HMDB0001259	HMDB:HMDB0002217	HMDB:HMDB0003381	HMDB:HMDB0031646	LMFA01030978	LMFA01050398	LMFA01060002	LMFA01060003	LMFA01060190	LMFA01060193	LMFA06000118
102.042927446	C3H6N2O2	HMDB:HMDB0014405	HMDB:HMDB0060739	LMPK14000007
102.05032101	C5H10S	HMDB:HMDB0031529	HMDB:HMDB0038892	HMDB:HMDB0039771	HMDB:HMDB0040347
102.068079564	C5H10O2	HMDB:HMDB0000718	HMDB:HMDB0000892	HMDB:HMDB0002176	HMDB:HMDB0030058	HMDB:HMDB0031175	HMDB:HMDB0031241	HMDB:HMDB0031247	HMDB:HMDB0031249	HMDB:HMDB0031516	HMDB:HMDB0032230	HMDB:HMDB0033742	HMDB:HMDB0033890	HMDB:HMDB0034237	HMDB:HMDB0039799	HMDB:HMDB0040575	HMDB:HMDB0041992	HMDB:HMDB0059678	LMFA01010005	LMFA01020072	LMFA01020073	LMFA01020181	LMFA07010411	LMFA07010528	LMFA12000015	LMFA12000022	LMFA12000066
102.091889011	C5H12NO	HMDB:HMDB0001252
102.10446507	C6H14O	LMFA05000111	LMFA05000117	LMFA05000463	LMFA05000467	LMFA05000537	LMFA05000541	HMDB:HMDB0012971	HMDB:HMDB0031326	HMDB:HMDB0031493	HMDB:HMDB0033676	HMDB:HMDB0059889	HMDB:HMDB0061886	HMDB:HMDB0062726
102.115698459	C5H14N2	HMDB:HMDB0002322	HMDB:HMDB0003661	HMDB:HMDB0062672
102.128274517	C6H16N	HMDB:HMDB0006509
103.026943031	C3H5NO3	HMDB:HMDB0002455	HMDB:HMDB0011602
103.045569983	C4H9NS	HMDB:HMDB0031682
103.063328537	C4H9NO2	HMDB:HMDB0000092	HMDB:HMDB0000112	HMDB:HMDB0000452	HMDB:HMDB0000650	HMDB:HMDB0001906	HMDB:HMDB0002166	HMDB:HMDB0002299	HMDB:HMDB0003911	HMDB:HMDB0031329	HMDB:HMDB0031654	HMDB:HMDB0038394	HMDB:HMDB0041945	HMDB:HMDB0094692	HMDB:HMDB0094693	LMFA01100034	LMFA01100039	LMFA01100043	LMFA01100049	LMFA01100050	LMFA01100053	LMFA01100054
103.110947431	C4H13N3	HMDB:HMDB0031413
